当前时间:12:30:00    当前价格:5.440000 波动价格:0.0 初始波动:0.0,比率0.0%
当前时间:09:30:05    当前价格:5.460000 波动价格:0.02 初始波动:0.02,比率0.0037%
当前时间:09:30:09    当前价格:5.460000 波动价格:0.0 初始波动:0.02,比率0.0037%
当前时间:09:30:10    当前价格:5.420000 波动价格:-0.04 初始波动:-0.02,比率0.0037%
当前时间:09:30:11    当前价格:5.500000 波动价格:0.08 初始波动:0.06,比率0.011%
当前时间:09:30:12    当前价格:5.500000 波动价格:0.0 初始波动:0.06,比率0.011%
当前时间:09:30:13    当前价格:5.630000 波动价格:0.13 初始波动:0.19,比率0.0349%
当前时间:09:30:15    当前价格:5.420000 波动价格:-0.21 初始波动:-0.02,比率0.0037%
当前时间:09:30:16    当前价格:5.640000 波动价格:0.22 初始波动:0.2,比率0.0368%
当前时间:09:30:19    当前价格:5.500000 波动价格:-0.14 初始波动:0.06,比率0.011%
当前时间:09:30:20    当前价格:5.640000 波动价格:0.14 初始波动:0.2,比率0.0368%
当前时间:09:30:21    当前价格:5.420000 波动价格:-0.22 初始波动:-0.02,比率0.0037%
当前时间:09:30:24    当前价格:5.460000 波动价格:0.04 初始波动:0.02,比率0.0037%
当前时间:09:30:25    当前价格:5.600000 波动价格:0.14 初始波动:0.16,比率0.0294%
当前时间:09:30:28    当前价格:5.460000 波动价格:-0.14 初始波动:0.02,比率0.0037%
当前时间:09:30:29    当前价格:5.420000 波动价格:-0.04 初始波动:-0.02,比率0.0037%
当前时间:09:30:32    当前价格:5.420000 波动价格:0.0 初始波动:-0.02,比率0.0037%
当前时间:09:30:33    当前价格:5.450000 波动价格:0.03 初始波动:0.01,比率0.0018%
当前时间:09:30:35    当前价格:5.420000 波动价格:-0.03 初始波动:-0.02,比率0.0037%
当前时间:09:30:36    当前价格:5.410000 波动价格:-0.01 初始波动:-0.03,比率0.0055%
当前时间:09:30:37    当前价格:5.410000 波动价格:0.0 初始波动:-0.03,比率0.0055%
当前时间:09:30:38    当前价格:5.410000 波动价格:0.0 初始波动:-0.03,比率0.0055%
当前时间:09:30:39    当前价格:5.410000 波动价格:0.0 初始波动:-0.03,比率0.0055%
当前时间:09:30:40    当前价格:5.410000 波动价格:0.0 初始波动:-0.03,比率0.0055%
当前时间:09:30:41    当前价格:5.400000 波动价格:-0.01 初始波动:-0.04,比率0.0074%
当前时间:09:30:42    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:43    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:44    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:45    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:46    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:47    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:48    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:49    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
当前时间:09:30:50    当前价格:5.400000 波动价格:0.0 初始波动:-0.04,比率0.0074%
